CONTENT,CLASS,content_lowercase,content_lowercase_rn,content_tokenization,content_stopword,content_steem,content_clean
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,"['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', 're', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['started', 'reading', 'stop', 'subscribe', 'within', 'one', 'day', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right']","['start', 'read', 'stop', 'subscrib', 'within', 'one', 'day', 'entir', 'famili', 'die', 'want', 'stay', 'aliv', 'subscrib', 'right']","['start', 'read', 'stop', 'subscrib', 'within', 'one', 'day', 'entir', 'famili', 'die', 'want', 'stay', 'aliv', 'subscrib', 'right']"
https://twitter.com/GBphotographyGB﻿,1,https://twitter.com/gbphotographygb﻿,https URL,"['https', 'URL']","['https', 'URL']","['https', 'url']","['https', 'url']"
subscribe like comment﻿,1,subscribe like comment﻿,subscribe like comment,"['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscrib', 'like', 'comment']","['subscrib', 'like', 'comment']"
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like URL,"['please', 'like', 'URL']","['please', 'like', 'URL']","['pleas', 'like', 'url']","['pleas', 'like', 'url']"
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿",hello do you like gaming art videos scientific e eriments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our e ectations you can also check out what we ve got so far,"['hello', 'do', 'you', 'like', 'gaming', 'art', 'videos', 'scientific', 'e', 'eriments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', 've', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'e', 'ectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', 've', 'got', 'so', 'far']","['hello', 'like', 'gaming', 'art', 'videos', 'scientific', 'e', 'eriments', 'tutorials', 'lyrics', 'videos', 'much', 'much', 'please', 'check', 'channel', 'subscribe', 'started', 'soon', 'hope', 'able', 'cover', 'e', 'ectations', 'also', 'check', 'got', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientif', 'e', 'eriment', 'tutori', 'lyric', 'video', 'much', 'much', 'pleas', 'check', 'channel', 'subscrib', 'start', 'soon', 'hope', 'abl', 'cover', 'e', 'ectat', 'also', 'check', 'got', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientif', 'e', 'eriment', 'tutori', 'lyric', 'video', 'much', 'much', 'pleas', 'check', 'channel', 'subscrib', 'start', 'soon', 'hope', 'abl', 'cover', 'e', 'ectat', 'also', 'check', 'got', 'far']"
I'm only checking the views﻿,0,i'm only checking the views﻿,i m only checking the views,"['i', 'm', 'only', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']","['check', 'view']"
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,URL,['URL'],['URL'],['url'],['url']
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,http URL,"['http', 'URL']","['http', 'URL']","['http', 'url']","['http', 'url']"
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 't', 'shirts', 'v', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicated', 'bringing', 'music', 'inspired', 'designs', 'clothing', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'v', 'necks', 'accessories', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaways', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'compani', 'dedic', 'bring', 'music', 'inspir', 'design', 'cloth', 'perfect', 'rave', 'music', 'festiv', 'neon', 'crop', 'top', 'tank', 'top', 'shirt', 'v', 'neck', 'accessori', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'compani', 'dedic', 'bring', 'music', 'inspir', 'design', 'cloth', 'perfect', 'rave', 'music', 'festiv', 'neon', 'crop', 'top', 'tank', 'top', 'shirt', 'v', 'neck', 'accessori', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']"
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about NUM millions of the views come from people who only wanted to check the views,"['i', 'think', 'about', 'NUM', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['think', 'NUM', 'millions', 'views', 'come', 'people', 'wanted', 'check', 'views']","['think', 'num', 'million', 'view', 'come', 'peopl', 'want', 'check', 'view']","['think', 'num', 'million', 'view', 'come', 'peopl', 'want', 'check', 'view']"
subscribe to my channel people :D﻿,1,subscribe to my channel people :d﻿,subscribe to my channel people,"['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'channel', 'people']","['subscrib', 'channel', 'peopl']","['subscrib', 'channel', 'peopl']"
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here URL,"['show', 'your', 'auburn', 'pride', 'here', 'URL']","['show', 'auburn', 'pride', 'URL']","['show', 'auburn', 'pride', 'url']","['show', 'auburn', 'pride', 'url']"
just checking the views﻿,0,just checking the views﻿,just checking the views,"['just', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']","['check', 'view']"
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel,"['check', 'out', 'my', 'channel']","['check', 'channel']","['check', 'channel']","['check', 'channel']"
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,URL earn real money from game,"['URL', 'earn', 'real', 'money', 'from', 'game']","['URL', 'earn', 'real', 'money', 'game']","['url', 'earn', 'real', 'money', 'game']","['url', 'earn', 'real', 'money', 'game']"
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys im a NUM yr old music producer i make chiptunes and 8bit music it would be wonderful if you checked out some of my 8bit remixes i even have a gangnamstyle 8bit remix if you would like to check that out thanks,"['hey', 'guys', 'im', 'a', 'NUM', 'yr', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', '8bit', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', '8bit', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', '8bit', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks']","['hey', 'guys', 'im', 'NUM', 'yr', 'old', 'music', 'producer', 'make', 'chiptunes', '8bit', 'music', 'would', 'wonderful', 'checked', '8bit', 'remixes', 'even', 'gangnamstyle', '8bit', 'remix', 'would', 'like', 'check', 'thanks']","['hey', 'guy', 'im', 'num', 'yr', 'old', 'music', 'produc', 'make', 'chiptun', '8bit', 'music', 'would', 'wonder', 'check', '8bit', 'remix', 'even', 'gangnamstyl', '8bit', 'remix', 'would', 'like', 'check', 'thank']","['hey', 'guy', 'im', 'num', 'yr', 'old', 'music', 'produc', 'make', 'chiptun', '8bit', 'music', 'would', 'wonder', 'check', '8bit', 'remix', 'even', 'gangnamstyl', '8bit', 'remix', 'would', 'like', 'check', 'thank']"
Check me out! I'm kyle. I rap so yeah ﻿,1,check me out! i'm kyle. i rap so yeah ﻿,check me out i m kyle i rap so yeah,"['check', 'me', 'out', 'i', 'm', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']"
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on NUM billion or not,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'NUM', 'billion', 'or', 'not']","['dont', 'even', 'watch', 'anymore', 'come', 'check', 'NUM', 'billion']","['dont', 'even', 'watch', 'anymor', 'come', 'check', 'num', 'billion']","['dont', 'even', 'watch', 'anymor', 'come', 'check', 'num', 'billion']"
"Subscribe to me for free Android games, apps.. ﻿",1,"subscribe to me for free android games, apps.. ﻿",subscribe to me for free android games apps,"['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'free', 'android', 'games', 'apps']","['subscrib', 'free', 'android', 'game', 'app']","['subscrib', 'free', 'android', 'game', 'app']"
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']","['everyone', 'please', 'come', 'check', 'newest', 'song', 'memories', 'martin', 'luther', 'king', 'jr']","['everyon', 'pleas', 'come', 'check', 'newest', 'song', 'memori', 'martin', 'luther', 'king', 'jr']","['everyon', 'pleas', 'come', 'check', 'newest', 'song', 'memori', 'martin', 'luther', 'king', 'jr']"
"Came here to check the views, goodbye.﻿",0,"came here to check the views, goodbye.﻿",came here to check the views goodbye,"['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'check', 'views', 'goodbye']","['came', 'check', 'view', 'goodby']","['came', 'check', 'view', 'goodby']"
sub my channel for no reason -_-﻿,1,sub my channel for no reason -_-﻿,sub my channel for no reason,"['sub', 'my', 'channel', 'for', 'no', 'reason']","['sub', 'channel', 'reason']","['sub', 'channel', 'reason']","['sub', 'channel', 'reason']"
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿",check out my dubstep song fireball made with fruity loops i really took time in it URL,"['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'URL']","['check', 'dubstep', 'song', 'fireball', 'made', 'fruity', 'loops', 'really', 'took', 'time', 'URL']","['check', 'dubstep', 'song', 'firebal', 'made', 'fruiti', 'loop', 'realli', 'took', 'time', 'url']","['check', 'dubstep', 'song', 'firebal', 'made', 'fruiti', 'loop', 'realli', 'took', 'time', 'url']"
2 billion....Coming soon﻿,0,2 billion....coming soon﻿,NUM billion coming soon,"['NUM', 'billion', 'coming', 'soon']","['NUM', 'billion', 'coming', 'soon']","['num', 'billion', 'come', 'soon']","['num', 'billion', 'come', 'soon']"
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'koreans', 'last', 'time', 'checked', 'wanted', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'last', 'time', 'check', 'want', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'last', 'time', 'check', 'want', 'bomb', 'us']"
Check my channel please! And listen to the best music ever :P﻿,1,check my channel please! and listen to the best music ever :p﻿,check my channel please and listen to the best music ever,"['check', 'my', 'channel', 'please', 'and', 'listen', 'to', 'the', 'best', 'music', 'ever']","['check', 'channel', 'please', 'listen', 'best', 'music', 'ever']","['check', 'channel', 'pleas', 'listen', 'best', 'music', 'ever']","['check', 'channel', 'pleas', 'listen', 'best', 'music', 'ever']"
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1,sub 4 sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes 10 seconds please if you subscribe ill  subscribe back thanks﻿,sub NUM sub please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes NUM seconds please if you subscribe ill subscribe back thanks,"['sub', 'NUM', 'sub', 'please', 'like', 'this', 'comment', 'i', 'want', 'a', 'succesfull', 'youtube', 'so', 'pplease', 'like', 'this', 'comment', 'and', 'subscribe', 'it', 'only', 'takes', 'NUM', 'seconds', 'please', 'if', 'you', 'subscribe', 'ill', 'subscribe', 'back', 'thanks']","['sub', 'NUM', 'sub', 'please', 'like', 'comment', 'want', 'succesfull', 'youtube', 'pplease', 'like', 'comment', 'subscribe', 'takes', 'NUM', 'seconds', 'please', 'subscribe', 'ill', 'subscribe', 'back', 'thanks']","['sub', 'num', 'sub', 'pleas', 'like', 'comment', 'want', 'succesful', 'youtub', 'ppleas', 'like', 'comment', 'subscrib', 'take', 'num', 'second', 'pleas', 'subscrib', 'ill', 'subscrib', 'back', 'thank']","['sub', 'num', 'sub', 'pleas', 'like', 'comment', 'want', 'succesful', 'youtub', 'ppleas', 'like', 'comment', 'subscrib', 'take', 'num', 'second', 'pleas', 'subscrib', 'ill', 'subscrib', 'back', 'thank']"
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1," hey everyone!! i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf4! and give me  some advice on how my video was and how i could improve it. also be sure to  go check out the about to see what im all about. thanks for your time :) .  and to haters... you hate, i win﻿",hey everyone i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in bf4 and give me some advice on how my video was and how i could improve it also be sure to go check out the about to see what im all about thanks for your time and to haters you hate i win,"['hey', 'everyone', 'i', 'have', 'just', 'started', 'my', 'first', 'yt', 'channel', 'i', 'would', 'be', 'grateful', 'if', 'some', 'of', 'you', 'peoples', 'could', 'check', 'out', 'my', 'first', 'clip', 'in', 'bf4', 'and', 'give', 'me', 'some', 'advice', 'on', 'how', 'my', 'video', 'was', 'and', 'how', 'i', 'could', 'improve', 'it', 'also', 'be', 'sure', 'to', 'go', 'check', 'out', 'the', 'about', 'to', 'see', 'what', 'im', 'all', 'about', 'thanks', 'for', 'your', 'time', 'and', 'to', 'haters', 'you', 'hate', 'i', 'win']","['hey', 'everyone', 'started', 'first', 'yt', 'channel', 'would', 'grateful', 'peoples', 'could', 'check', 'first', 'clip', 'bf4', 'give', 'advice', 'video', 'could', 'improve', 'also', 'sure', 'go', 'check', 'see', 'im', 'thanks', 'time', 'haters', 'hate', 'win']","['hey', 'everyon', 'start', 'first', 'yt', 'channel', 'would', 'grate', 'peopl', 'could', 'check', 'first', 'clip', 'bf4', 'give', 'advic', 'video', 'could', 'improv', 'also', 'sure', 'go', 'check', 'see', 'im', 'thank', 'time', 'hater', 'hate', 'win']","['hey', 'everyon', 'start', 'first', 'yt', 'channel', 'would', 'grate', 'peopl', 'could', 'check', 'first', 'clip', 'bf4', 'give', 'advic', 'video', 'could', 'improv', 'also', 'sure', 'go', 'check', 'see', 'im', 'thank', 'time', 'hater', 'hate', 'win']"
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,"the projects after effects, music, foto, web sites and another you can find  and buy here  http://audiojungle.net/user/eugenekalinin/portfolio?ref=eugenekalinin﻿",the projects after effects music foto web sites and another you can find and buy here http URL,"['the', 'projects', 'after', 'effects', 'music', 'foto', 'web', 'sites', 'and', 'another', 'you', 'can', 'find', 'and', 'buy', 'here', 'http', 'URL']","['projects', 'effects', 'music', 'foto', 'web', 'sites', 'another', 'find', 'buy', 'http', 'URL']","['project', 'effect', 'music', 'foto', 'web', 'site', 'anoth', 'find', 'buy', 'http', 'url']","['project', 'effect', 'music', 'foto', 'web', 'site', 'anoth', 'find', 'buy', 'http', 'url']"
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1,youtube/codytolleson for awesome videos i'll subscribe back ﻿,youtube codytolleson for awesome videos i ll subscribe back,"['youtube', 'codytolleson', 'for', 'awesome', 'videos', 'i', 'll', 'subscribe', 'back']","['youtube', 'codytolleson', 'awesome', 'videos', 'subscribe', 'back']","['youtub', 'codytolleson', 'awesom', 'video', 'subscrib', 'back']","['youtub', 'codytolleson', 'awesom', 'video', 'subscrib', 'back']"
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel,"['if', 'you', 'like', 'roblox', 'minecraft', 'world', 'of', 'warcraft', 'gta5', 'mario', 'suscribe', 'to', 'my', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'gta5', 'mario', 'suscribe', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'gta5', 'mario', 'suscrib', 'channel']","['like', 'roblox', 'minecraft', 'world', 'warcraft', 'gta5', 'mario', 'suscrib', 'channel']"
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1,subscribe to me and i'll subscribe to you! (must like - czfcxsn0jnq) ﻿,subscribe to me and i ll subscribe to you must like czfcxsn0jnq,"['subscribe', 'to', 'me', 'and', 'i', 'll', 'subscribe', 'to', 'you', 'must', 'like', 'czfcxsn0jnq']","['subscribe', 'subscribe', 'must', 'like', 'czfcxsn0jnq']","['subscrib', 'subscrib', 'must', 'like', 'czfcxsn0jnq']","['subscrib', 'subscrib', 'must', 'like', 'czfcxsn0jnq']"
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,URL come follow and watch my stream,"['URL', 'come', 'follow', 'and', 'watch', 'my', 'stream']","['URL', 'come', 'follow', 'watch', 'stream']","['url', 'come', 'follow', 'watch', 'stream']","['url', 'come', 'follow', 'watch', 'stream']"
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1,"if you like raw talent, raw lyrics, straight real hip hop everyone check my newest sound  dizzy x - got the juice (prod by. drugs the model citizen)   comment tell me what you think  dont be lazy!!!!  - 1/7 prophetz﻿",if you like raw talent raw lyrics straight real hip hop everyone check my newest sound dizzy x got the juice prod by drugs the model citizen comment tell me what you think dont be lazy NUM prophetz,"['if', 'you', 'like', 'raw', 'talent', 'raw', 'lyrics', 'straight', 'real', 'hip', 'hop', 'everyone', 'check', 'my', 'newest', 'sound', 'dizzy', 'x', 'got', 'the', 'juice', 'prod', 'by', 'drugs', 'the', 'model', 'citizen', 'comment', 'tell', 'me', 'what', 'you', 'think', 'dont', 'be', 'lazy', 'NUM', 'prophetz']","['like', 'raw', 'talent', 'raw', 'lyrics', 'straight', 'real', 'hip', 'hop', 'everyone', 'check', 'newest', 'sound', 'dizzy', 'x', 'got', 'juice', 'prod', 'drugs', 'model', 'citizen', 'comment', 'tell', 'think', 'dont', 'lazy', 'NUM', 'prophetz']","['like', 'raw', 'talent', 'raw', 'lyric', 'straight', 'real', 'hip', 'hop', 'everyon', 'check', 'newest', 'sound', 'dizzi', 'x', 'got', 'juic', 'prod', 'drug', 'model', 'citizen', 'comment', 'tell', 'think', 'dont', 'lazi', 'num', 'prophetz']","['like', 'raw', 'talent', 'raw', 'lyric', 'straight', 'real', 'hip', 'hop', 'everyon', 'check', 'newest', 'sound', 'dizzi', 'x', 'got', 'juic', 'prod', 'drug', 'model', 'citizen', 'comment', 'tell', 'think', 'dont', 'lazi', 'num', 'prophetz']"
....subscribe......  ......to my........  .....channel.......﻿,1,....subscribe......  ......to my........  .....channel.......﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']","['subscribe', 'channel']","['subscrib', 'channel']","['subscrib', 'channel']"
